,Total_value_todate,Return_without_trailing,Return_trailing_12m
2021-07-21,18184.16772807233,181.8416772807233,100.17668132808404
2021-07-22,18277.07190519021,182.7707190519021,100.48901029804387
2021-07-23,18365.725253641183,183.65725253641182,100.07366570933831
2021-07-27,18380.605942436687,183.80605942436688,99.85417474804362
2021-07-28,18458.131430485904,184.58131430485903,100.68301152662549
2021-07-29,18451.46225926038,184.5146225926038,102.59703914792848
2021-07-30,18459.59039046464,184.5959039046464,100.78576840427064
2021-08-03,18475.149111016734,184.75149111016734,99.63555617511844
2021-08-04,18594.291738417443,185.94291738417442,100.69418755008076
2021-08-05,18644.078453752783,186.44078453752783,102.58825012199573
2021-08-06,18737.871773598647,187.37871773598647,102.53733998152619
2021-08-10,18668.68252397645,186.68682523976452,104.69776565727472
2021-08-11,18758.801898172842,187.5880189817284,103.16007957413088
2021-08-12,18737.078043279806,187.37078043279806,102.51684810606325
2021-08-13,18788.412205729805,187.88412205729804,102.30149883138876
2021-08-17,18799.48654102016,187.9948654102016,102.278927038071
2021-08-18,18704.454833825068,187.04454833825068,101.33449804638583
2021-08-19,18443.784765756634,184.43784765756635,99.9583908668274
2021-08-20,18595.82309215781,185.9582309215781,100.73800500884104
2021-08-24,18940.6799169121,189.406799169121,102.5197675163432
2021-08-25,18982.667621570174,189.82667621570172,102.08868339066828
2021-08-26,19124.59857214472,191.24598572144723,102.57733370723517
2021-08-27,19038.36861869066,190.3836861869066,101.60368716747976
2021-08-31,19132.7380450202,191.32738045020199,102.48574327860445
2021-09-01,19114.10078380867,191.1410078380867,101.89403826302166
2021-09-02,19217.737378061935,192.17737378061935,102.5652843718315
2021-09-03,19227.884078310195,192.27884078310197,102.33905807349896
2021-09-08,19040.07138227454,190.4007138227454,101.2797415542676
2021-09-09,18987.685893990154,189.87685893990152,101.51424386693641
2021-09-10,19078.26681537057,190.7826681537057,103.44008595671718
2021-09-14,18933.556989412118,189.3355698941212,101.81618149183585
2021-09-15,18761.09584809584,187.6109584809584,99.05186049495556
2021-09-16,18914.786656743792,189.14786656743792,99.64240555553295
2021-09-17,18789.73112264537,187.89731122645372,98.2490223351036
2021-09-21,18525.423932174377,185.25423932174377,97.30573193118708
2021-09-22,18504.69634911436,185.04696349114363,96.71744998322755
2021-09-23,18697.477347342952,186.97477347342954,97.82033462532208
2021-09-24,18778.9894355059,187.789894355059,97.7169635846055
2021-09-28,18734.54854165119,187.3454854165119,97.43427027825955
2021-09-29,18527.194309021943,185.27194309021945,97.30632799134324
2021-09-30,18570.9372793032,185.709372793032,97.80516374131268
2021-10-01,18297.84659816849,182.9784659816849,95.90937570611325
2021-10-05,18098.020112600298,180.98020112600298,95.58700524534791
2021-10-06,18005.540564652514,180.05540564652514,95.9727550588682
2021-10-07,18343.365861870352,183.4336586187035,96.97897308997821
2021-10-08,18401.772542730952,184.01772542730953,97.93526273802368
2021-10-12,18306.36491887261,183.0636491887261,98.81752226505698
2021-10-13,18287.796670045947,182.8779667004595,98.82786685619516
2021-10-14,18429.562934802543,184.29562934802544,98.56710930804533
2021-10-15,18654.19198700531,186.5419198700531,99.33544108468034
2021-10-19,18667.727500256224,186.67727500256223,99.64332718642027
2021-10-20,18607.89588232207,186.07895882322072,100.43558442770166
2021-10-21,18834.472598361852,188.3447259836185,101.41907387384454
2021-10-22,18930.008932265846,189.30008932265844,103.45484552351986
2021-10-26,19140.279694108838,191.40279694108838,105.75897018029553
2021-10-27,19023.544919945678,190.23544919945678,105.65383944812882
2021-10-28,18871.74763332356,188.71747633323562,102.88050609376731
2021-10-29,18980.425187628338,189.8042518762834,103.14454840452836
2021-11-02,19155.518499536454,191.55518499536456,104.63857016085387
2021-11-03,19178.460253245055,191.78460253245055,104.87026184328671
2021-11-04,19341.471249980812,193.41471249980813,104.94807347523263
2021-11-05,19394.110534045725,193.94110534045726,103.96650011727043
2021-11-09,19385.73565078834,193.8573565078834,103.84625365097205
2021-11-10,19338.921737350192,193.3892173735019,103.92857881219453
2021-11-11,19318.92758697576,193.18927586975758,102.57217177748869
2021-11-12,19417.078303528044,194.17078303528044,102.57300127540879
2021-11-16,19541.19547802307,195.4119547802307,102.09461820998169
2021-11-17,19604.867696604375,196.04867696604376,103.05580678630089
2021-11-18,19600.37749351119,196.0037749351119,103.86095593447328
2021-11-19,19464.135160309266,194.64135160309266,102.54846752851572
2021-11-23,19438.070966543375,194.38070966543376,101.47504473456961
2021-11-24,19412.25734830448,194.1225734830448,101.21906082121409
2021-11-30,19031.97948293034,190.3197948293034,98.3998540594435
2021-12-01,18961.28864819107,189.6128864819107,97.7682818446618
2021-12-02,18490.337068623143,184.90337068623143,95.38114726056946
2021-12-03,18972.65223109771,189.7265223109771,98.10605001030078
2021-12-07,19065.24736253129,190.6524736253129,98.68688247159488
2021-12-08,19265.433713744846,192.65433713744847,99.21901437789616
2021-12-09,19165.75679482144,191.6575679482144,98.07873226781919
2021-12-10,19116.559916681283,191.16559916681283,97.50925235773119
2021-12-14,18676.153926704374,186.76153926704373,95.28466445550457
2021-12-15,18757.012292581057,187.57012292581058,96.36704707450782
2021-12-16,19181.91947270612,191.8191947270612,98.6822175190216
2021-12-17,18824.96883862377,188.24968838623766,96.97465112303384
